observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId
observable_EGFRPtotal	C1	0.0064	0		0.00294449	C1_observable_EGFRPtotal
observable_EGFRPtotal	C1	0.0674	15		0.017	C1_observable_EGFRPtotal
observable_EGFRPtotal	C1	0.0347	30		0.0118	C1_observable_EGFRPtotal
observable_EGFRPtotal	C1	0.0356	45		0.00987	C1_observable_EGFRPtotal
observable_EGFRPtotal	C1	0.0179	60		0.00987	C1_observable_EGFRPtotal
observable_EGFRPtotal	C1	0.01	120		0.0106	C1_observable_EGFRPtotal
observable_EGFRPtotal	C2	0.0064	0		0.00294449	C2_observable_EGFRPtotal
observable_EGFRPtotal	C2	0.309	15		0.0339	C2_observable_EGFRPtotal
observable_EGFRPtotal	C2	0.233	30		0.00676	C2_observable_EGFRPtotal
observable_EGFRPtotal	C2	0.156	45		0.0199	C2_observable_EGFRPtotal
observable_EGFRPtotal	C2	0.12	60		0.0241	C2_observable_EGFRPtotal
observable_EGFRPtotal	C2	0.0873	120		0.026	C2_observable_EGFRPtotal
observable_EGFRPtotal	C3	0.0064	0		0.00294449	C3_observable_EGFRPtotal
observable_EGFRPtotal	C3	0.694	15		0.14	C3_observable_EGFRPtotal
observable_EGFRPtotal	C3	0.478	30		0.0589	C3_observable_EGFRPtotal
observable_EGFRPtotal	C3	0.239	45		0.0194	C3_observable_EGFRPtotal
observable_EGFRPtotal	C3	0.201	60		0.0759	C3_observable_EGFRPtotal
observable_EGFRPtotal	C3	0.122	120		0.0402	C3_observable_EGFRPtotal
observable_PLCgPtotal	C2	0.0041	0		0.00312	C2_observable_PLCgPtotal
observable_PLCgPtotal	C2	0.0435	15		0.0217	C2_observable_PLCgPtotal
observable_PLCgPtotal	C2	0.0476	30		0.027	C2_observable_PLCgPtotal
observable_PLCgPtotal	C2	0.0217	45		0.00745	C2_observable_PLCgPtotal
observable_PLCgPtotal	C2	0.0119	60		0.00433	C2_observable_PLCgPtotal
observable_PLCgPtotal	C2	0.019	120		0.0104	C2_observable_PLCgPtotal
observable_PLCgPtotal	C3	0.0041	0		0.00312	C3_observable_PLCgPtotal
observable_PLCgPtotal	C3	0.0948	15		0.0171	C3_observable_PLCgPtotal
observable_PLCgPtotal	C3	0.0531	30		0.0097	C3_observable_PLCgPtotal
observable_PLCgPtotal	C3	0.039	45		0.0102	C3_observable_PLCgPtotal
observable_PLCgPtotal	C3	0.0316	60		0.00866	C3_observable_PLCgPtotal
observable_PLCgPtotal	C3	0.0234	120		0.00624	C3_observable_PLCgPtotal
observable_ShPtotal	C3	0.0073	0		0.01	C3_observable_ShPtotal
observable_ShPtotal	C3	0.284	15		0.0215	C3_observable_ShPtotal
observable_ShPtotal	C3	0.245	30		0.0196	C3_observable_ShPtotal
observable_ShPtotal	C3	0.256	45		0.0204	C3_observable_ShPtotal
observable_ShPtotal	C3	0.282	60		0.0168	C3_observable_ShPtotal
observable_ShPtotal	C3	0.279	120		0.0268	C3_observable_ShPtotal
observable_Grb2Shctotal	C3	0.0422	0		0.0368	C3_observable_Grb2Shctotal
observable_Grb2Shctotal	C3	0.356	15		0.0468	C3_observable_Grb2Shctotal
observable_Grb2Shctotal	C3	0.332	30		0.0568	C3_observable_Grb2Shctotal
observable_Grb2Shctotal	C3	0.3	45		0.0668	C3_observable_Grb2Shctotal
observable_Grb2Shctotal	C3	0.296	60		0.0768	C3_observable_Grb2Shctotal
observable_Grb2Shctotal	C3	0.283	120		0.0868	C3_observable_Grb2Shctotal
observable_Grb2EGFRtotal	C3	0.0004	0		0.0968	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal	C3	0.181	15		0.107	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal	C3	0.158	30		0.117	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal	C3	0.0876	45		0.127	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal	C3	0.0636	60		0.137	C3_observable_Grb2EGFRtotal
observable_Grb2EGFRtotal	C3	0.0463	120		0.147	C3_observable_Grb2EGFRtotal
