parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType
log_k1	lin	-5	5	0	1	parameterScaleUniform
log_k2	lin	-9.605	0.395	-4.605	1	parameterScaleUniform
log_k2p	lin	-2.697	7.303	2.303	1	parameterScaleUniform
log_k3	lin	-7.303	2.697	-2.303	1	parameterScaleUniform
log_Km3	lin	-9.605	0.395	-4.605	1	parameterScaleUniform
log_k4	lin	-6.609	3.391	-1.609	1	parameterScaleUniform
log_Km4	lin	-9.605	0.395	-4.605	1	parameterScaleUniform
log_k5	lin	-7.303	2.697	-2.303	1	parameterScaleUniform
log_Km5	lin	-9.605	0.395	-4.605	1	parameterScaleUniform
log_k6	lin	-7.996	2.004	-2.996	1	parameterScaleUniform
log_Km6	lin	-9.605	0.395	-4.605	1	parameterScaleUniform
dummy	lin	-5	5	0	1	parameterScaleUniform
