parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType
kdim	lin	-6	6	3	1	parameterScaleUniform
kopen	lin	-6	6	1	1	parameterScaleUniform
kclose	lin	-6	6	2.69	1	parameterScaleUniform
kon_CSH2	lin	-6	6	0	1	parameterScaleUniform
koff_CSH2	lin	-6	6	0	1	parameterScaleUniform
kon_NSH2	lin	-6	6	0	1	parameterScaleUniform
koff_NSH2	lin	-6	6	0	1	parameterScaleUniform
kkin_Y1	lin	-6	6	-1	1	parameterScaleUniform
kon_PTP	lin	-6	6	0	1	parameterScaleUniform
koff_PTP	lin	-6	6	1	1	parameterScaleUniform
kcat_PTP	lin	-6	6	0	1	parameterScaleUniform
chi_r1	lin	-6	6	3	1	parameterScaleUniform
chi_r2	lin	-6	6	2	1	parameterScaleUniform
chi_r3	lin	-6	6	3	1	parameterScaleUniform
chi_r4	lin	-6	6	2	1	parameterScaleUniform
chi_r5	lin	-6	6	2	1	parameterScaleUniform
chi_r6	lin	-6	6	2	1	parameterScaleUniform
chi_r7	lin	-6	6	2	1	parameterScaleUniform
chi_r8	lin	-6	6	3	1	parameterScaleUniform
chi_r9	lin	-6	6	2	1	parameterScaleUniform
chi_r10	lin	-6	6	2	1	parameterScaleUniform
chi_r11	lin	-6	6	3	1	parameterScaleUniform
R_dim	lin	-6	6	-1.6021	1	parameterScaleUniform
S_tot	lin	-6	6	-1.3010	1	parameterScaleUniform
dummy	lin	-6	6	0	1	parameterScaleUniform
